id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,image,price_closed
1,3,3,1.58,3740,11044,538200,2,591 Church Hill Road,Woodstock,Under,1970,2,Yes,No,,,No,14,Yes,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4483708/0/60/45/69420c795e4044c718421fab3017e9d5/0/29cd8eec54c397839fc82aca54411c52/4483708.JPG,495000
2,4,3,5.19,2276,13438,696500,2,354 Grove Hill Rd,Woodstock,Detached,1990,2,Yes,No,,,,9,Yes,No,,,No,,Walkout,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4157608/0/60/45/c29b52941ced6284e1cf03571082eba0/0/f4d1a4ef837907b87f83d123c1c9c0b9/4157608.JPG,540000
3,4,3,0.84,2200,6361,329700,1,4 Prospect,Woodstock,Carport,1800,2,No,No,,,,10,Yes,No,,No,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4178007/0/60/45/1616b6f4240fca8dd556d51255a8e955/0/eb863508974cacb448782630ff1b6263/4178007.JPG,460000
4,3,3,15.4,2926,11829,697600,2,529 Stage Road,Pomfret,Attached,1995,2,Yes,No,Brook,,,7,Yes,No,Yes,No,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4117111/0/60/45/9bce8876e4d95aa3d2d0fc10e165c726/0/233884b859e91e17c47eff3a81e18758/4117111.JPG,500000
5,4,5,4,2817,10707,512100,2,283 Laughlin,Woodstock,Detached,1968,1.5,Yes,No,,,No,6,Yes,No,,,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4427685/0/60/45/7295d8dbe69b6b1faef37494fdddf3bc/0/f06f83fa31a7703f20bfe181d8d9d10c/4427685.JPG,605914
6,5,3,54.07,4030,,1460710,4,121 Gills Rd,Barnard,Attached,1986,1.75,Yes,No,Pond,,No,12,Yes,No,,Yes,Yes,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4472397/0/60/45/ee75598775aedaf09136caa8c54098f7/0/a9378b29d56899e67620def3aa5f7aff/4472397.JPG,1000000
7,4,4,23.8,2780,18277,756570,0,633 North Road,Barnard,,1830,2,Yes,No,,,,9,No,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4320881/0/60/45/ab190f34f53983ed7ef7833392c0a93f/0/0c78ccd18a89ac542976eca5bc24f71d/4320881.JPG,875000
8,3,3,10.33,2200,6708,,1,700 John Darling Road,Woodstock,Attached,1997,2,Yes,No,Brook,,,7,Yes,No,,,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4606304/0/60/45/97bedb4d609545a6c08d4c86c0497687/0/0fedc7fe248baf0f7c0e2dae01b2d78f/4606304.JPG,300000
9,4,4,0.29,3324,10459,731280,0,50 NORTH RD,Barnard,,1793,2.5,Yes,No,Lake,,,11,No,Unknown,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4192542/0/60/45/75b76b4e93d5b444d52bbd91d9071889/0/b00e18960a2a21477fac325b986ce12e/4192542.JPG,537500
10,5,2,1.3,3732,15047,1140000,1,37 Elm Street,Woodstock,Attached,1801,2.5,No,No,Brook,180,,11,Yes,Yes,,,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4074249/0/60/45/b5e77756f21e902e99eb7b9eb0b83da1/0/5a93000fd86caeba061fa6f5c04fd9b0/4074249.JPG,825000
11,3,3,24.1,2309,13144,681300,3,441 Spruce Way,Woodstock,Attached,1986,2,Yes,No,,,,8,Yes,No,,No,Yes,,,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4155696/0/60/45/8d6e9eeefbcbf2eb2051e6c8736c9526/0/f68e7253873ff815a9b2bbe6c181ff1e/4155696.JPG,680000
12,3,3,5,2940,7297,456000,2,7856 Vermont Rt 12,Barnard,Attached,1988,2,Unknown,No,,,,9,Yes,No,,No,No,,,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4064085/0/60/45/d5cf89be5de250506c5f433f8a252d07/0/a26c974dc195ebc2cadcc950faaeac7c/4064085.JPG,322000
13,4,3,163.1,4154,,1356440,3,1510 Wayside Road,Barnard,Attached,1805,2.5,No,No,Pond,,No,12,Yes,Unknown,,No,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4485692/0/60/45/0c9d133d56db71074eadcfb000785687/0/cecd743c6589452a7ede34f85b6a6656/4485692.JPG,1450000
14,3,2,5.7,1538,7148,370500,0,4300 West Woodstock Road,Woodstock,,1988,2,Yes,No,,,No,10,No,No,,No,No,,Interior,No,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4453187/0/60/45/d8cc7075bfa78926f2f44244bce1f1b6/0/48dd0772e0de13ab7756a2d4fb2b8199/4453187.JPG,370000
15,4,4,43,3400,10476,916770,3,253 North Road,Barnard,Attached,2008,2,Yes,No,,,,8,Yes,No,Yes,Yes,No,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4087012/0/60/45/ebc7d262e414d23fcac11abea78df3ea/0/4c9caccda01e3a94f8db20f9f8502dc9/4087012.JPG,930000
16,6,7,563,4700,36389,832100,2,592 Quinn Road Road,Woodstock,Detached,1930,2,Yes,No,,,No,13,Yes,No,,Yes,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4388407/0/60/45/2ff1029b5326d3e443e86e6477a4061a/0/240fb9999fdfa4fbe9720694aac3b17f/4388407.JPG,2500000
17,4,4,23,3500,15202,834980,2,1162 Galaxy Hill,Pomfret,Detached,1800,1.5,Yes,No,,,No,9,Yes,No,Yes,No,Unknown,,Walkout,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4307655/0/60/45/873fc3264d560859b0fb02f63a5201d1/0/9fda08b1283b7765fe9a9b114ffd9014/4307655.JPG,700000
18,2,2,0.13,1600,8100,335200,1,79 Central Street,Woodstock,Carport,1826,2,No,No,,,,6,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4142730/0/60/45/a4f23d3dbd8521c55e04221b01ba031a/0/b7bd668071eabeb72553261219c20271/4142730.JPG,334000
19,5,4,18.7,3600,13260,687300,2,3578 Church Hill Road,Woodstock,Attached,1999,2,Yes,No,,,No,10,Yes,No,,,No,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4359763/0/60/45/e5164159c0823974f6e6d7c41246a0ce/0/98939ddf3d495421e8db381d78f20565/4359763.JPG,540000
20,5,5,9.39,5710,12915,832500,3,4445 South Road,Woodstock,Under,1974,2,Yes,No,Pond,,No,18,Yes,No,,No,Unknown,,Interior,Yes,http://cdnparap140.paragonrels.com/ParagonImages/Property/p14/NEREN/4467518/0/60/45/3506d9e070dd2ebd38321abb623efc24/0/8af9dc17c0e1775d633ebb037133f2fd/4467518.JPG,500000
